h;V;C;L*;a*;b*;R;G;B
2.5RP;2;4;20.56;17.97;-7.43;0.2763;0.1532;0.238
2.5RP;2;6;20.56;25.38;-10.69;0.307;0.1288;0.2572
2.5RP;2;8;20.56;34.45;-14.71;0.3423;0.0873;0.2811
2.5RP;2;10;20.56;42.53;-18.38;0.373;0.0126;0.3028
5RP;2;2;20.56;10.78;-2.7;0.2495;0.1713;0.2103
5RP;2;4;20.56;18.52;-4.93;0.2854;0.1503;0.2238
5RP;2;6;20.56;26.27;-7.34;0.3186;0.1237;0.2383
5RP;2;8;20.56;35.49;-10.44;0.3561;0.0773;0.2569
7.5RP;2;2;20.56;10.78;-1.37;0.2526;0.1708;0.203
7.5RP;2;4;20.56;18.93;-2.81;0.2918;0.1482;0.2121
7.5RP;2;6;20.56;26.89;-4.33;0.3272;0.1197;0.2216
7.5RP;2;8;20.56;35.94;-6.36;0.3659;0.0703;0.2341
10RP;3;2;30.76;11.03;1.6;0.3555;0.2588;0.2752
10RP;3;4;30.76;20.57;2.85;0.4096;0.232;0.269
10RP;3;6;30.76;29.36;3.83;0.4561;0.2008;0.2646
10RP;3;8;30.76;38.85;4.64;0.5028;0.1565;0.2616
10RP;3;10;30.76;47.79;5.16;0.5452;0.091;0.2601
2.5R;3;2;30.76;10.94;3.11;0.3581;0.2587;0.266
2.5R;3;4;30.76;20.4;5.76;0.4139;0.2316;0.2515
2.5R;3;6;30.76;28.96;8.13;0.4604;0.201;0.2391
2.5R;3;8;30.76;38.41;10.53;0.5082;0.1564;0.2266
2.5R;3;10;30.76;47.45;12.52;0.5519;0.0889;0.217
5R;3;2;30.76;10.66;4.53;0.3594;0.2591;0.2576
5R;3;4;30.76;19.97;8.78;0.4167;0.2321;0.2334
5R;3;6;30.76;28.16;12.66;0.4623;0.2029;0.2118
5R;3;8;30.76;37.15;16.77;0.5089;0.1612;0.189
5R;3;10;30.76;46.21;20.54;0.5531;0.0972;0.1692
7.5R;3;2;30.76;10.28;5.8;0.3598;0.2598;0.2498
7.5R;3;4;30.76;19.1;11.46;0.416;0.2342;0.2171
7.5R;3;6;30.76;27.1;16.72;0.4617;0.206;0.1869
7.5R;3;8;30.76;35.5;22.54;0.5063;0.1682;0.1535
7.5R;3;10;30.76;43.9;28.57;0.5481;0.1142;0.1191
10R;3;2;30.76;9.52;7.15;0.3585;0.2612;0.2415
10R;3;4;30.76;17.87;13.91;0.4131;0.2374;0.202
10R;3;6;30.76;25.55;20.72;0.4583;0.2109;0.1621
10R;3;8;30.76;33.43;28.16;0.5008;0.1771;0.1171
10R;3;10;30.76;41.04;36.01;0.539;0.1335;0.0658
2.5YR;3;2;30.76;8.46;8.61;0.3553;0.2634;0.2326
2.5YR;3;4;30.76;15.55;16.88;0.4054;0.2433;0.1833
2.5YR;3;6;30.76;22.37;26.03;0.4478;0.221;0.1272
2.5YR;3;8;30.76;28.32;36.01;0.4819;0.198;0.0563
5YR;3;2;30.76;7.01;10.03;0.3498;0.2666;0.2237
5YR;3;4;30.76;12.81;19.49;0.3947;0.2503;0.1663
5YR;3;6;30.76;18.31;30.21;0.4318;0.2332;0.0964
7.5YR;3;2;30.76;5.63;11.13;0.3438;0.2697;0.2166
7.5YR;3;4;30.76;10.09;21.95;0.3833;0.2571;0.1499
7.5YR;3;6;30.76;14;33.74;0.4135;0.2452;0.0666
10YR;3;2;30.76;3.63;12.13;0.3343;0.2739;0.2101
10YR;3;4;30.76;6.71;23.99;0.3684;0.2648;0.1355
10YR;3;6;30.76;9.61;37.05;0.3941;0.2564;0.03
2.5Y;3;2;30.76;1.48;12.81;0.3234;0.2783;0.2057
2.5Y;3;4;30.76;3.22;25.65;0.3517;0.2726;0.1233
5Y;3;2;30.76;-0.39;13.01;0.3126;0.2822;0.204
5Y;3;4;30.76;-0.08;26.49;0.3351;0.2794;0.1163
7.5Y;3;2;30.76;-1.98;12.96;0.303;0.2854;0.2041
7.5Y;3;4;30.76;-3.16;26.8;0.3177;0.2857;0.1132
10Y;3;2;30.76;-3.6;12.47;0.292;0.2886;0.2068
10Y;3;4;30.76;-6.35;26.49;0.2993;0.2917;0.1144
2.5GY;3;2;30.76;-5.13;11.32;0.2797;0.2918;0.2136
2.5GY;3;4;30.76;-9.99;24.92;0.2751;0.2983;0.1248
5GY;3;2;30.76;-6.35;10.03;0.2692;0.2941;0.2215
5GY;3;4;30.76;-12.93;21.88;0.2506;0.3037;0.1447
5GY;3;6;30.76;-18.47;34.37;0.2322;0.3111;0.0428
